2;11;23,3;6;16,5;10,9,14,20,27,39,30,22,15,59,48,38,29,21,83,70,58,47,37,28,111,96,82,69,57,46,36,143,126,110,95,81,68,56
4;7;17,2;11,3;6,5,9,14,20,31,23,16,10,49,39,30,22,15,71,59,48,38,29,21,97,83,70,58,47,37,28,127,111,96,82,69,57,46
8;12,4;7,2,3,5,9,14,24,17,11,6,40,31,23,16,10,60,49,39,30,22,15,84,71,59,48,38,29,21,112,97,83,70,58,47,37
13,8,4,3,5,9,18,12,7,2,32,24,17,11,6,50,40,31,23,16,10,72,60,49,39,30,22,15,98,84,71,59,48,38,29
19,13,8,4,0,3;0,5;0,19,13,8,4,25;0,18;0,12;0,7;0,2;0,41;0,32;0,24;0,17;0,11;0,6;0,61;0,50;0,40;0,31;0,23;0,16;0,10;0,86;0,72;0,60;0,49;0,39;0,30;0,22;0
26,19,13,8,4;0,0,3;0,26,19,13,8,26;0,19;0,13;0,8;0,4;0,33;0,25;0,18;0,12;0,7;0,2;0,51;0,41;0,32;0,24;0,17;0,11;0,6;0,73;0,61;0,50;0,40;0,31;0,23;0,16;0
34,26,19,13,8;0,4;0,0,34,26,19,13,34;0,26;0,19;0,13;0,8;0,34;0,26;0,19;0,13;0,8;0,4;0,42;0,33;0,25;0,18;0,12;0,7;0,2;0,62;0,51;0,41;0,32;0,24;0,17;0,11;0
39,30,22,15,14,20,27,2;11;23;39,3;6;16;30,5;10;22,9;15,59,48,38,29,21,83,70,58,47,37,28,111,96,82,69,57,46,36,143,126,110,95,81,68,56
31,23,16,10,9,14,20,4;7;17;31,2;11;23,3;6;16,5;10,49,39,30,22,15,71,59,48,38,29,21,97,83,70,58,47,37,28,127,111,96,82,69,57,46
24,17,11,6,5,9,14,8;12;24,4;7;17,2;11,3;6,40,31,23,16,10,60,49,39,30,22,15,84,71,59,48,38,29,21,112,97,83,70,58,47,37
18,12,7,2,3,5,9,13;18,8;12,4;7,2,32,24,17,11,6,50,40,31,23,16,10,72,60,49,39,30,22,15,98,84,71,59,48,38,29
59,48,38,29,21;0,20;0,27;0,59,48,38,29,2;11;23;39;59;0,3;6;16;30;48;0,5;10;22;38;0,9;15;29;0,14;21;0,83;0,70;0,58;0,47;0,37;0,28;0,111;0,96;0,82;0,69;0,57;0,46;0,36;0,143;0,126;0,110;0,95;0,81;0,68;0,56;0
